,Unnamed: 0,Star Name,Distance (ly),Mass(MJ),Radius (RJ)
344,WISE 0627-1114,,,,
345,WISE 0647-6232,,,,
346,WISE 0656+4205,,,,
347,WISE 0713-2917,,,,
348,WISE 0723+3403,,,,
349,WISE 0733+7544,,,,
350,WISE 0734-7157,,,,
351,WISE 0744+5628,,,,
352,WISE 0750+2725,,,,
353,WISE 0751-7634,,,,
354,WISE 0759-4904,,,,
355,WISE 0811-8051,,,,
356,WISE 0812+4021,,,,
357,WISE 0819-0335,,,,
358,WISE 0821+1443,,,,
359,WISE 0836-1859,,,,
360,WISE 0857+5604,,,,
361,WISE 0906+4735,,,,
362,WISE 0929+0409,,,,
363,WISE 0952+1955,,,,
364,WISE 1018-2445,,,,
365,WISE 1019+6529,,,,
366,WISE 1039-1600,,,,
367,WISE 1042-3842,,,,
368,WISE 1051-2138,,,,
369,WISE 1122+2550,,,,
370,WISE 1124-0421,,,,
371,WISE 1147-2040,,,,
372,WISE 1150+6302,,,,
373,WISE 1217+1626A,,,,
374,WISE 1217+1626B,,,,
375,WISE 1225-1013,,,,
376,WISE 1311+0122,,,,
377,WISE 1311+3629,,,,
378,WISE 1318-1758,,,,
379,WISE 1320+6034,,,,
380,WISE 1322-2340,,,,
381,WISE 1348+6603,,,,
382,WISE 1405+5534,,,,
383,WISE 1433-0837,,,,
384,WISE 1436-1814,,,,
385,WISE 1457+5815,,,,
386,WISE 1506+7027,,,,
387,WISE 1517+0529,,,,
388,WISE 1519+7009,,,,
389,WISE 1523+3125,,,,
390,WISE 1541-2250,,,,
391,WISE 1542+2230,,,,
392,WISE 1612-3420,,,,
393,WISE 1614+1739,,,,
394,WISE 1617+1807,,,,
395,WISE 1622-0959,,,,
396,WISE 1627+3255,,,,
397,WISE 1639-6847,,,,
398,WISE 1647+5632,,,,
399,WISE 1653+4444,,,,
400,WISE 1711+3500,,,,
401,WISE 1717+6129,,,,
402,WISE 1721+1117,,,,
403,WISE 1728+5716,,,,
404,WISE 1738+2732,,,,
405,WISE 1741+2553,,,,
406,WISE 1746-0338,,,,
407,WISE 1800+0134,,,,
408,WISE 1804+3117,,,,
409,WISE 1809+3838,,,,
410,WISE 1812+2721,,,,
411,WISE 1828+2650,,,,
412,WISE 1830+4542,,,,
413,WISE 1841+7000,,,,
414,WISE 1852+3537,,,,
415,WISE 1906+4508,,,,
416,WISE 1928+2356,,,,
417,WISE 1952+7240,,,,
418,WISE 1959-3338,,,,
419,WISE 2030+0749,,,,
420,WISE 2014+0424,,,,
421,WISE 2015+6646,,,,
422,WISE 2018-7423,,,,
423,WISE 2019-1148,,,,
424,WISE 2056+1459,,,,
425,WISE 2134-7137,,,,
426,WISE 2157+2659,,,,
427,WISE 2209-2734,,,,
428,WISE 2213+0911,,,,
429,WISE 2220-3628,,,,
430,WISE 2226+0440,,,,
431,WISE 2237-0614,,,,
432,WISE 2237+7228,,,,
433,WISE 2239+1617,,,,
434,WISE 2255-3118,,,,
435,WISE 2301+0216,,,,
436,WISE 2313-8037,,,,
437,WISE 2319-1844,,,,
438,WISE 2325-4105,,,,
439,WISE 2327-2730,,,,
440,WISE 2335+4222,,,,
441,WISE 2340-0745,,,,
442,WISE 2342+0856,,,,
443,WISE 2343-7418,,,,
444,WISE 2344+1034,,,,
445,WISE 2348-1028,,,,
446,WISE 2357+1227,,,,
447,WISE 2359-7335,,,,
448,WISEA 1101+5400,,,,
449,2M1510,,,,
